Category,Name,URL,Kind,Tier,Use
"Component Libraries","Vengence UI","https://vengenceui.com","creative components","optional","Experimental creative component reference."
"Component Libraries","Cult UI","https://www.cult-ui.com","creative components","strong","Experimental and high-end UI component reference."
"Component Libraries","Kokonut UI","https://kokonutui.com","React components","strong","Modern React/Tailwind component patterns."
"Component Libraries","SmoothUI","https://smoothui.dev","motion components","strong","Motion-focused React interface components."
"Component Libraries","Unlumen UI","https://ui.unlumen.com","creative components","optional","Creative visual component reference."
"Component Libraries","Motion Primitives","https://motion-primitives.com","motion primitives","core","Reusable motion-based React primitives."
"Component Libraries","UIverse","https://uiverse.io","community components","optional","Broad CSS/UI inspiration; review implementation quality before reuse."
"Component Libraries","Componentry","https://componentry.dev","component discovery","strong","Component discovery and interface reference."
"Component Libraries","Uilora","https://uilora.com","UI reference","optional","Additional UI component/reference source."
"Component Libraries","Forge UI","https://forgeui.in","component library","optional","Additional component source and reference."
"Component Libraries","Animshelf","https://animshelf.dev","animation snippets","strong","Animation snippets and effect inspiration."
"Component Libraries","Bklit UI","https://bklit.com","data/UI components","strong","Polished data visualization and shadcn-oriented UI components."
"Component Libraries","AnimmasterLib","","animation resource","unresolved","Keep on research list until the canonical URL/source is verified."

"Data Visualization","Tremor","https://www.tremor.so","dashboard components","core","Dashboard, KPI and analytical UI patterns."
"Data Visualization","Recharts","https://recharts.org","chart library","core","General React charting for product dashboards."
"Data Visualization","shadcn Charts","https://ui.shadcn.com/charts","chart components","core","Design-system-friendly chart patterns for shadcn projects."
"Data Visualization","Visx","https://airbnb.io/visx","visualization primitives","strong","Low-level custom React visualization primitives."
"Data Visualization","Nivo","https://nivo.rocks","chart library","secondary","Rich chart collection for specialized visualization needs."
"Data Visualization","Bklit","https://bklit.com","visualization components","strong","Polished dashboard and visualization reference."

"Icons","Lucide","https://lucide.dev","icon system","core","Preferred clean general-purpose icon family when no project icon system exists."
"Icons","Tabler Icons","https://tabler.io/icons","icon system","strong","Large consistent open-source icon family."
"Icons","Iconsax","https://iconsax.io","icon system","secondary","Multiple-style modern icon family."

"Motion Engines","Motion","https://motion.dev","React animation","core","Default for component transitions, layout animation, gestures and micro-interactions."
"Motion Engines","GSAP","https://gsap.com","animation engine","core","Complex choreography, timelines and advanced scroll storytelling."
"Motion Engines","Anime.js","https://animejs.com","animation engine","secondary","Lightweight general-purpose animation option."
"Motion Engines","React Spring","https://react-spring.dev","physics animation","secondary","Spring/physics-driven React animation."
"Motion Engines","mo.js","https://mojs.github.io","motion graphics","optional","Specialized motion graphics effects."
"Motion Engines","AutoAnimate","https://auto-animate.formkit.com","automatic transitions","secondary","Simple automatic DOM transition enhancement."

"Web 3D","Three.js","https://threejs.org","WebGL engine","core","Primary underlying 3D/WebGL engine."
"Web 3D","React Three Fiber","https://r3f.docs.pmnd.rs","React 3D renderer","core","Primary React integration layer for Three.js."
"Web 3D","Drei","https://drei.docs.pmnd.rs","R3F helpers","core","Reusable helpers and abstractions for React Three Fiber."
"Web 3D","OGL","https://oframe.github.io/ogl","WebGL library","secondary","Lightweight WebGL option when Three.js/R3F is unnecessarily heavy."
"Web 3D","Theatre.js","https://www.theatrejs.com","animation sequencing","strong","Visual sequencing and parameter animation for sophisticated scenes."
"Web 3D","Lenis","https://lenis.darkroom.engineering","smooth scrolling","strong","Controlled smooth scrolling when it materially improves the experience."
"Web 3D","Shader Gradient","https://www.shadergradient.co","shader visuals","strong","Shader-driven backgrounds and gradients."
"Web 3D","Zdog","https://zzz.dog","pseudo 3D","optional","Lightweight illustrative pseudo-3D."
"Web 3D","Leva","https://leva.pmnd.rs","developer controls","strong","Interactive parameter tuning for creative/WebGL development."

"Visual 3D Tools","Spline","https://spline.design","visual 3D tool","core","Rapid interactive 3D scene creation and prototyping."
"Visual 3D Tools","3D Websites","https://3dwebsites.design","3D inspiration","core","Reference gallery for high-end 3D web experiences."
"Visual 3D Tools","Morflax Studio","https://studio.morflax.com","3D assets/tooling","strong","3D visual asset creation/reference."
"Visual 3D Tools","Endless Tools","https://endlesstools.io","creative tools","strong","Creative visual tooling and experimental web resources."
"Visual 3D Tools","SVGator","https://www.svgator.com","SVG animation","secondary","Visual SVG animation authoring."
"Visual 3D Tools","Jitter","https://jitter.video","motion design","strong","Motion design and visual animation production."

"Product UX Research","Mobbin","https://mobbin.com","product reference","core","Real product screens and flows for evidence-driven product UI decisions."
"Product UX Research","Refero","https://refero.design","product reference","core","Real interface examples and visual product research."
"Product UX Research","Refero Styles","https://refero.design/styles","style reference","strong","Interface examples organized by visual style."
"Product UX Research","Page Flows","https://pageflows.com","UX flows","core","Recorded real-world user flows and interaction sequences."
"Product UX Research","SaaSFrame","https://www.saasframe.io","SaaS reference","core","SaaS application and marketing UI reference."
"Product UX Research","Name That UI","https://namethatui.com","pattern taxonomy","strong","Identify established names and patterns for interface elements."
"Product UX Research","Screenlane","https://screenlane.com","product reference","strong","Curated product UI reference."
"Product UX Research","Nicelydone","https://nicelydone.club","SaaS reference","strong","SaaS/product interface reference."
"Product UX Research","UX Archive","https://uxarchive.com","UX flows","secondary","Archived mobile/product UX patterns."
"Product UX Research","Pttrns","https://pttrns.com","mobile patterns","secondary","Mobile UI pattern reference."
"Product UX Research","Start UX Design","https://startuxdesign.com","UX learning","secondary","UX learning and reference material."

"CRO Research","ABTest.design","https://abtest.design","experiment reference","core","Real A/B tests and conversion experiments."
"CRO Research","Baymard","https://baymard.com","UX research","core","Evidence-based ecommerce UX research."
"CRO Research","Growth.Design","https://growth.design","behavioral UX","core","Psychology and UX case studies."
"CRO Research","GoodUI","https://goodui.org","conversion patterns","core","Tested UI and conversion hypotheses."
"CRO Research","Social Proof Examples","https://socialproofexamples.com","conversion reference","secondary","Implementation patterns for social proof."
"CRO Research","Really Good UX","https://reallygoodux.io","UX patterns","strong","Well-designed UX pattern examples."
"CRO Research","Lapa Ninja","https://www.lapa.ninja","landing inspiration","strong","Landing-page and conversion-oriented reference."

"Marketing Inspiration","Awwwards","https://www.awwwards.com","creative web inspiration","core","Art direction, composition, motion and experimental web inspiration."
"Marketing Inspiration","SiteInspire","https://www.siteinspire.com","web inspiration","core","Curated high-quality web design reference."
"Marketing Inspiration","Minimal Gallery","https://minimal.gallery","minimal web inspiration","strong","Minimal visual-language reference."
"Marketing Inspiration","Land-book","https://land-book.com","landing inspiration","core","Landing page gallery and composition reference."
"Marketing Inspiration","One Page Love","https://onepagelove.com","one-page inspiration","strong","One-page site and landing-page patterns."
"Marketing Inspiration","Godly","https://godly.website","creative web inspiration","core","High-end contemporary web design inspiration."
"Marketing Inspiration","Cosmos","https://www.cosmos.so","visual inspiration","strong","Broad visual inspiration and bookmarking."
"Marketing Inspiration","Pafolios","https://pafolios.com","portfolio inspiration","secondary","Portfolio design reference."
"Marketing Inspiration","Internet Gems","https://ilovecreatives.com/internet-gems","creative resources","strong","Curated creative internet discoveries and references."

"Design Resources","Logo System","https://logosystem.co","brand reference","strong","Logo systems and identity reference."
"Design Resources","Realtime Colors","https://www.realtimecolors.com","color tool","core","Evaluate palettes in live website contexts."
"Design Resources","Fontshare","https://www.fontshare.com","font library","core","Quality font discovery for modern interfaces."
"Design Resources","Coolors","https://coolors.co","color tool","strong","Palette exploration and generation."
"Design Resources","Type Scale","https://typescale.com","typography tool","strong","Typography scale exploration."
"Design Resources","Fontpair","https://www.fontpair.co","font reference","strong","Font pairing inspiration."
"Design Resources","Craftwork","https://craftwork.design","design assets","strong","Premium design assets and references."
"Design Resources","Creatoom","https://creatoom.com","design assets","secondary","Creative design assets and references."

"AI Builder Benchmarks","GetLayers","https://www.getlayers.ai","AI design tool","watch","Benchmark AI-assisted interface generation and workflows."
"AI Builder Benchmarks","HorizonX","https://horizonx.so","AI frontend tool","watch","Benchmark AI-oriented frontend/design workflows."
"AI Builder Benchmarks","10x","https://10x.app","AI builder","watch","Benchmark AI app/UI creation."
"AI Builder Benchmarks","Manus","https://manus.im","AI agent/builder","core-benchmark","Benchmark end-to-end visual direction and autonomous web production."
"AI Builder Benchmarks","Framer","https://www.framer.com","visual web builder","strong-benchmark","Benchmark visual website quality, interactions and responsive authoring."
"AI Builder Benchmarks","Webflow","https://webflow.com","visual web builder","strong-benchmark","Benchmark production visual web workflows and layout capabilities."

"QA","Playwright","https://playwright.dev","browser testing","core","Browser automation, responsive checks, interaction testing and screenshots."
"QA","Lighthouse","https://developer.chrome.com/docs/lighthouse","quality audit","core","Performance, accessibility, SEO and quality audits."
"QA","axe-core","https://github.com/dequelabs/axe-core","accessibility testing","core","Automated accessibility checks."
"QA","Storybook","https://storybook.js.org","component workbench","core","Isolated component development, documentation, testing and design-system QA."
"QA","Testing Library","https://testing-library.com","component testing","strong","User-centric UI behavior testing."
"QA","Vitest","https://vitest.dev","test runner","strong","Fast JavaScript/TypeScript testing."

"Personal Collections","DesignLab","https://www.notion.so/DesignLab-395e68099f798077a296faeac9ddaddb","personal resource collection","personal","Private/personal collection of UI and design references."
